Language,Language code,Resource tier,Linguistic subgroup,Number of evaluated emotions,Majority baseline macro-F1,XLM-R macro-F1,Gemma-4-31B zero-shot macro-F1,Published Track A best macro-F1,Evaluation track,Gap: XLM-R minus published Track A best,Gap: Gemma-4-31B minus published Track A best,Published benchmark source
English,ENG,1,Germanic,5,0.4491,0.5523,0.6274,0.823,Track A,-0.2707,-0.1956,"SemEval-2025 Task 11, Table 5 (Track A)"
Hindi,HIN,1,Indo-Aryan,6,0.2641,0.855,0.7421,0.926,Track A,-0.071,-0.1839,"SemEval-2025 Task 11, Table 5 (Track A)"
Russian,RUS,1,Slavic,6,0.2618,0.8791,0.818,0.901,Track A,-0.0219,-0.083,"SemEval-2025 Task 11, Table 5 (Track A)"
Hausa,HAU,2,Chadic,6,0.3121,0.6326,0.5606,0.751,Track A,-0.1184,-0.1904,"SemEval-2025 Task 11, Table 5 (Track A)"
Kinyarwanda,KIN,2,Bantu (Great Lakes),6,0.2176,0.3928,0.4213,0.657,Track A,-0.2642,-0.2357,"SemEval-2025 Task 11, Table 5 (Track A)"
Sundanese,SUN,2,Sundic,6,0.334,0.2026,0.6516,0.55,Track A,-0.3474,0.1016,"SemEval-2025 Task 11, Table 5 (Track A)"
Yoruba,YOR,3,Yoruboid,6,0.1647,0.1267,0.3479,0.461,Track A,-0.3343,-0.1131,"SemEval-2025 Task 11, Table 5 (Track A)"
Emakhuwa,VMW,3,Bantu (Makua-Lomwe),6,0.1626,0.038,0.0209,0.325,Track A,-0.287,-0.3041,"SemEval-2025 Task 11, Table 5 (Track A)"
Nigerian Pidgin,PCM,3,English-Based,6,0.3566,0.5692,0.5199,0.674,Track A,-0.1048,-0.1541,"SemEval-2025 Task 11, Table 5 (Track A)"
